id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53518087,"Vista, aconchego e conforto em Família no Humaitá",56166560,Daniella,,Humaitá,-22.95804,-43.20201,Entire home/apt,311,2,0,,,1,172,0,
53518500,Apartamento na Curicica. Em frente ao projac,38851574,Juliana,,Jacarepaguá,-22.96463,-43.40209,Entire home/apt,500,4,1,2022-01-03,0.18,1,364,1,
53518575,Departamento entero - Cobertura Ipanema.,10403565,Carla,,Copacabana,-22.9839,-43.19419,Private room,1600,2,0,,,2,171,0,
53520481,Suíte casal em Copacabana,192170777,Catia,,Copacabana,-22.9861,-43.19169,Private room,200,3,11,2022-04-24,1.90,6,176,11,
53523029,Copabeachflat in Copacabana,4553490,Jessica,,Copacabana,-22.96277,-43.17426,Entire home/apt,95,2,5,2022-02-27,0.79,4,53,5,
53523817,Room with view of Postal Card  of Rio.,4756015,Thais,,Laranjeiras,-22.93493,-43.19431,Private room,236,2,1,2022-01-02,0.18,1,87,1,
53524521,Bossa Nova Residence,381210276,Leonardo,,Ipanema,-22.98311,-43.20287,Entire home/apt,2000,5,0,,,1,364,0,
53449776,Flat com vista  para o mar. Ideal para casal.,432798334,Emilia,,Barra da Tijuca,-23.014509,-43.303318,Entire home/apt,400,2,6,2022-06-19,0.91,1,329,6,
53449924,Private appartment available for short/long term,65554211,Ana Lúcia,,Copacabana,-22.96572,-43.17965,Entire home/apt,180,7,3,2022-04-29,0.53,1,170,3,
53451500,Excelente apto 1 qto em Copacabana posto 2!,105223705,Fernanda,,Copacabana,-22.96348,-43.1758,Entire home/apt,500,5,0,,,1,365,0,
53453731,Quarto em aconchegante apto a 2 quadras da praia,152971647,Gismália Luiza,,Copacabana,-22.96208,-43.1778,Private room,90,4,2,2022-04-24,0.36,1,191,2,
53454821,Apartamento da Chef,16515776,Maria Teresa,,Laranjeiras,-22.9414,-43.19089,Entire home/apt,400,4,1,2022-01-08,0.18,1,300,1,
53393697,"APTO NOVO, Rock in Rio 🎸, Barra/Recreio",170916608,Gabriel,,Recreio dos Bandeirantes,-23.00535,-43.4457,Entire home/apt,329,1,8,2022-04-24,1.18,11,251,8,
53393826,MS179. Apartamento em andar alto no Arpoador.,137007102,Fabiana,,Ipanema,-22.98816,-43.18936,Entire home/apt,566,4,3,2022-05-10,0.59,19,41,3,
53394352,MS92. Apartamento com 03 quartos no Arpoador!,137007102,Fabiana,,Ipanema,-22.98794,-43.18951,Entire home/apt,507,4,5,2022-06-01,0.90,19,77,5,
53394563,Apartamento completo a 1 min da Praia de Copa,3762734,Nino,,Copacabana,-22.96843,-43.18103,Entire home/apt,690,5,0,,,1,0,0,
53455922,Casa na mata aconchegante e pertinho das praias,271042920,Dana,,Barra de Guaratiba,-23.03638,-43.55061,Entire home/apt,160,2,3,2022-04-18,0.80,1,365,3,
53525240,Apartamento completo na Vila do Pan-americano,123213268,Claudia,,Jacarepaguá,-22.97063,-43.35903,Entire home/apt,269,1,5,2022-03-01,0.73,1,162,5,
53526224,APART HOTEL - IPANEMA,431412286,Carlos Henrique,,Ipanema,-22.98125,-43.20381,Entire home/apt,1200,3,0,,,10,365,0,
53526243,"Apartamento super bem localizado, Lapa/Glória.",67645222,Josie,,Centro,-22.91506,-43.17892,Entire home/apt,348,1,0,,,2,12,0,
53395121,Aluguel de quarto em Ipanema!,78844728,Gabriela,,Ipanema,-22.98437,-43.20075,Private room,244,2,0,,,4,53,0,
53396720,Lindo Flat vista Mar - Barra da Tijuca,46664224,Rafael,,Barra da Tijuca,-23.00412,-43.34001,Entire home/apt,133,2,24,2022-06-11,3.53,29,78,24,
53397023,"Nice 1bdroom apt in Copacabana, 2 blocks Ipanema",48024,Gustavo,,Copacabana,-22.98395,-43.19305,Entire home/apt,800,7,0,,,5,357,0,
53397360,Apartamento melhor localização no Leblon,320400820,Izabella,,Leblon,-22.98153,-43.22333,Entire home/apt,181,3,15,2022-06-03,2.50,4,16,15,
53398742,"Charming 1 bedroom flat, Copacabana",8364280,Jan,,Copacabana,-22.98156,-43.194,Entire home/apt,700,4,1,2022-01-03,0.18,8,0,1,
53398748,Splendid 2BR in Arpoador,392083762,Oka,,Copacabana,-22.98559,-43.19106,Entire home/apt,500,3,5,2022-05-17,0.89,27,326,5,
53398938,Casa aconchegante em SantaTeresa à 5 min da Lapa.,3771798,Stephanie,,Santa Teresa,-22.91505,-43.18058,Entire home/apt,159,2,3,2022-05-01,0.71,1,0,3,
53399572,Amazing 2 BR in the heart of Ipanema,392083762,Oka,,Ipanema,-22.98399,-43.20558,Entire home/apt,550,3,9,2022-05-24,1.47,27,351,9,
53399877,"Aluga-se Casa em Vargem Pequena , Condomínio.",102202984,Americo Jose Paulo Do Carmo,,Vargem Pequena,-22.99257,-43.45554,Entire home/apt,350,5,1,2022-01-03,0.18,2,90,1,
53399898,"Um apartamento simples, porém aconchegante!",432362982,Jucimara,,Leme,-22.96194,-43.16929,Entire home/apt,250,3,1,2022-04-24,0.51,1,362,1,
53526404,Casa c/ piscina em Cond fechado fora de temporada,433432064,Lenardo,,Recreio dos Bandeirantes,-23.02087,-43.52155,Entire home/apt,530,1,0,,,1,362,0,
53526454,"Linda casa, recém  reformada. Leia a descrição",322277570,Teresa,,Recreio dos Bandeirantes,-23.01893,-43.478,Entire home/apt,714,3,0,,,4,17,0,
53527325,Cobertura de 2 Quartos entre Ipanema e Copacabana,257601767,Raquel Grama,,Copacabana,-22.98424,-43.19252,Entire home/apt,800,10,1,2022-01-05,0.18,33,365,1,
53527565,SUPER OFFER Wanderlust - Infinite Blue Luxe Suite,391116870,N.,,Barra da Tijuca,-23.01175,-43.31644,Private room,3141,12,0,,,4,364,0,
